Account: ID;Rate Plan Charge: ID;Invoice Item: Charge Amount;Invoice Item: Processing Type;Invoice Item: Service Start Date;Invoice Item: Service End Date;Invoice Item: Charge Date;Invoice Item: ID;Subscription: SubscriptionId;Invoice Item: AppliedToInvoiceItemId;Invoice Item: Quantity;Invoice Item: UOM;Invoice Item: ChargeType;SubscriptionNumber;Rate Plan Charge: Charge Number
2c92c0f9626c87e001626e7566ef619c;2c92c0f9660fc4d70166155cd538777f;2500;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;2b0caf421a804db69cd8a622be852c34;2c92c0f9660fc4d70166155cd51b7779;;1;;Recurring;A-S00017450;C-00055946
2c92c0f9626c87e001626e7566ef619c;2c92c0f9660fc4d70166155cd538777f;2500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;de21798fb8684e4fa615815c710299ef;2c92c0f9660fc4d70166155cd51b7779;;1;;Recurring;A-S00017450;C-00055946
2c92c0f9626c87e001626e7566ef619c;2c92c0f9660fc4d701661568f4ef1300;2500;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;415bc366fdb94dd0827eb78d605f6286;2c92c0f9660fc4d701661568f4c112fa;;1;;Recurring;A-S00017451;C-00055947
2c92c0f9626c87e001626e7566ef619c;2c92c0f9660fc4d701661568f4ef1300;2500;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;b2f94d178fe54ea88373aac9862a1eca;2c92c0f9660fc4d701661568f4c112fa;;1;;Recurring;A-S00017451;C-00055947
2c92c0f9626c87e001626e7566ef619c;2c92c0f9660fc4d701661568f4ef1300;2500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;f7a177d3cd474d28879d2f8e9131981a;2c92c0f9660fc4d701661568f4c112fa;;1;;Recurring;A-S00017451;C-00055947
2c92c0f9626c87e001626e7566ef619c;2c92c0f9660fc4d701661670c17b3feb;5500;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;a0b6b1d2f17a4c08a39cbff7b05811d1;2c92c0f9660fc4d701661670c1bf3fef;;1;;Recurring;A-S00017453;C-00055949
2c92c0f9626c87e001626e7566ef619c;2c92c0f9660fc4d701661670c17b3feb;5500;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;9a8a3f35c60b486a90ccda41dc391ecd;2c92c0f9660fc4d701661670c1bf3fef;;1;;Recurring;A-S00017453;C-00055949
2c92c0f9626c87e001626e7566ef619c;2c92c0f9660fc4d701661670c17b3feb;5500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;436f2fac1689458eb700d64eb4a55f49;2c92c0f9660fc4d701661670c1bf3fef;;1;;Recurring;A-S00017453;C-00055949
2c92c0f9626c87e001626e7566ef619c;2c92c0f9661ff98c016634f9fa1d1e7a;2500;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;325b461a5d3048209c1962ad489ac4fb;2c92c0f9661ff98c016634f9fa711e80;;1;;Recurring;A-S00017472;C-00055984
2c92c0f9626c87e001626e7566ef619c;2c92c0f9661ff98c016634f9fa1d1e7a;2500;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;40e89ae53b7547ea8056e6809d2f6f8b;2c92c0f9661ff98c016634f9fa711e80;;1;;Recurring;A-S00017472;C-00055984
